job_id,pair_id,side,concept,sample_index,seed,duration,steps,guidance_scale,prompt,wav_path,sample_rate,elapsed_seconds,model_name,status,error
01-positive-sample-000-seed-401,01,positive,sharp_soft,0,401,3.0,50,4.0,a sharp hand clap once in a dry room,/outputs/sharp-soft-v1/01/positive/01-positive-sample-000-seed-401.wav,44100,19.398,declare-lab/TangoFlux,ok,
01-negative-sample-000-seed-401,01,negative,sharp_soft,0,401,3.0,50,4.0,a soft padded hand clap once behind a pillow,/outputs/sharp-soft-v1/01/negative/01-negative-sample-000-seed-401.wav,44100,19.052,declare-lab/TangoFlux,ok,
02-positive-sample-000-seed-402,02,positive,sharp_soft,0,402,3.0,50,4.0,a sharp wooden block is struck once,/outputs/sharp-soft-v1/02/positive/02-positive-sample-000-seed-402.wav,44100,18.949,declare-lab/TangoFlux,ok,
02-negative-sample-000-seed-402,02,negative,sharp_soft,0,402,3.0,50,4.0,a soft foam block is struck once,/outputs/sharp-soft-v1/02/negative/02-negative-sample-000-seed-402.wav,44100,20.867,declare-lab/TangoFlux,ok,
03-positive-sample-000-seed-403,03,positive,sharp_soft,0,403,3.0,50,4.0,a sharp snare drum hit with a crisp attack,/outputs/sharp-soft-v1/03/positive/03-positive-sample-000-seed-403.wav,44100,19.367,declare-lab/TangoFlux,ok,
03-negative-sample-000-seed-403,03,negative,sharp_soft,0,403,3.0,50,4.0,a soft muted drum hit with a gentle attack,/outputs/sharp-soft-v1/03/negative/03-negative-sample-000-seed-403.wav,44100,19.753,declare-lab/TangoFlux,ok,
04-positive-sample-000-seed-404,04,positive,sharp_soft,0,404,3.0,50,4.0,a sharp pencil taps a desk once,/outputs/sharp-soft-v1/04/positive/04-positive-sample-000-seed-404.wav,44100,18.591,declare-lab/TangoFlux,ok,
04-negative-sample-000-seed-404,04,negative,sharp_soft,0,404,3.0,50,4.0,a soft eraser taps a desk once,/outputs/sharp-soft-v1/04/negative/04-negative-sample-000-seed-404.wav,44100,21.215,declare-lab/TangoFlux,ok,
05-positive-sample-000-seed-405,05,positive,sharp_soft,0,405,3.0,50,4.0,a sharp metal click from a switch,/outputs/sharp-soft-v1/05/positive/05-positive-sample-000-seed-405.wav,44100,17.106,declare-lab/TangoFlux,ok,
05-negative-sample-000-seed-405,05,negative,sharp_soft,0,405,3.0,50,4.0,a soft plastic click from a covered switch,/outputs/sharp-soft-v1/05/negative/05-negative-sample-000-seed-405.wav,44100,17.383,declare-lab/TangoFlux,ok,
06-positive-sample-000-seed-406,06,positive,sharp_soft,0,406,3.0,50,4.0,a sharp footstep on a tile floor,/outputs/sharp-soft-v1/06/positive/06-positive-sample-000-seed-406.wav,44100,2.568,declare-lab/TangoFlux,ok,
06-negative-sample-000-seed-406,06,negative,sharp_soft,0,406,3.0,50,4.0,a soft footstep on thick carpet,/outputs/sharp-soft-v1/06/negative/06-negative-sample-000-seed-406.wav,44100,2.175,declare-lab/TangoFlux,ok,
07-positive-sample-000-seed-407,07,positive,sharp_soft,0,407,3.0,50,4.0,a sharp knock on a wooden door,/outputs/sharp-soft-v1/07/positive/07-positive-sample-000-seed-407.wav,44100,2.194,declare-lab/TangoFlux,ok,
07-negative-sample-000-seed-407,07,negative,sharp_soft,0,407,3.0,50,4.0,a soft knock on a padded door,/outputs/sharp-soft-v1/07/negative/07-negative-sample-000-seed-407.wav,44100,2.356,declare-lab/TangoFlux,ok,
08-positive-sample-000-seed-408,08,positive,sharp_soft,0,408,3.0,50,4.0,a sharp cymbal tap with a fast attack,/outputs/sharp-soft-v1/08/positive/08-positive-sample-000-seed-408.wav,44100,1.986,declare-lab/TangoFlux,ok,
08-negative-sample-000-seed-408,08,negative,sharp_soft,0,408,3.0,50,4.0,a soft muted cymbal tap with a slow attack,/outputs/sharp-soft-v1/08/negative/08-negative-sample-000-seed-408.wav,44100,1.96,declare-lab/TangoFlux,ok,
