job_id,pair_id,side,concept,sample_index,seed,duration,steps,guidance_scale,prompt,wav_path,sample_rate,elapsed_seconds,model_name,status,error
01-positive-sample-000-seed-501,01,positive,dry_reverberant,0,501,3.5,50,4.0,a dry hand clap once in a small carpeted room,/outputs/dry-reverberant-v1/01/positive/01-positive-sample-000-seed-501.wav,44100,19.308,declare-lab/TangoFlux,ok,
01-negative-sample-000-seed-501,01,negative,dry_reverberant,0,501,3.5,50,4.0,a reverberant hand clap once in a large cathedral,/outputs/dry-reverberant-v1/01/negative/01-negative-sample-000-seed-501.wav,44100,21.959,declare-lab/TangoFlux,ok,
02-positive-sample-000-seed-502,02,positive,dry_reverberant,0,502,3.5,50,4.0,a dry wooden block is struck once in a recording booth,/outputs/dry-reverberant-v1/02/positive/02-positive-sample-000-seed-502.wav,44100,19.926,declare-lab/TangoFlux,ok,
02-negative-sample-000-seed-502,02,negative,dry_reverberant,0,502,3.5,50,4.0,a reverberant wooden block is struck once in an empty hall,/outputs/dry-reverberant-v1/02/negative/02-negative-sample-000-seed-502.wav,44100,22.151,declare-lab/TangoFlux,ok,
03-positive-sample-000-seed-503,03,positive,dry_reverberant,0,503,3.5,50,4.0,a dry snare drum hit in a padded studio,/outputs/dry-reverberant-v1/03/positive/03-positive-sample-000-seed-503.wav,44100,16.413,declare-lab/TangoFlux,ok,
03-negative-sample-000-seed-503,03,negative,dry_reverberant,0,503,3.5,50,4.0,a reverberant snare drum hit in a gymnasium,/outputs/dry-reverberant-v1/03/negative/03-negative-sample-000-seed-503.wav,44100,21.287,declare-lab/TangoFlux,ok,
04-positive-sample-000-seed-504,04,positive,dry_reverberant,0,504,3.5,50,4.0,a dry finger snap close to the microphone,/outputs/dry-reverberant-v1/04/positive/04-positive-sample-000-seed-504.wav,44100,21.573,declare-lab/TangoFlux,ok,
04-negative-sample-000-seed-504,04,negative,dry_reverberant,0,504,3.5,50,4.0,a reverberant finger snap in a tiled stairwell,/outputs/dry-reverberant-v1/04/negative/04-negative-sample-000-seed-504.wav,44100,17.657,declare-lab/TangoFlux,ok,
05-positive-sample-000-seed-505,05,positive,dry_reverberant,0,505,3.5,50,4.0,a dry door knock on wood in a small room,/outputs/dry-reverberant-v1/05/positive/05-positive-sample-000-seed-505.wav,44100,19.268,declare-lab/TangoFlux,ok,
05-negative-sample-000-seed-505,05,negative,dry_reverberant,0,505,3.5,50,4.0,a reverberant door knock on wood in a long hallway,/outputs/dry-reverberant-v1/05/negative/05-negative-sample-000-seed-505.wav,44100,18.64,declare-lab/TangoFlux,ok,
